,Quantidade,AnoMes,AnoMesSemana,AnoMesSemana1SemanaAnterior,AnoMesSemana2SemanaAnterior,AnoMesSemanaAnoAnterior,AnoMesSemanaAnoAnterior1Semana,AnoMesSemanaAnoAnterior2Semana
0,2516.0,2019-01,2019-01-00,2018-12-52,2018-12-51,2018-01-01,2017-12-52,2017-12-51
1,3094.0,2019-01,2019-01-00,2018-12-52,2018-12-51,2018-01-01,2017-12-52,2017-12-51
2,3384.0,2019-01,2019-01-00,2018-12-52,2018-12-51,2018-01-01,2017-12-52,2017-12-51
3,3592.0,2019-01,2019-01-00,2018-12-52,2018-12-51,2018-01-01,2017-12-52,2017-12-51
4,1087.0,2019-01,2019-01-00,2018-12-52,2018-12-51,2018-01-01,2017-12-52,2017-12-51
5,2970.0,2019-01,2019-01-01,2018-12-53,2018-12-52,2018-01-01,2017-12-52,2017-12-51
6,3257.0,2019-01,2019-01-01,2019-01-00,2018-12-52,2018-01-02,2018-01-01,2017-12-52
7,3093.0,2019-01,2019-01-01,2019-01-00,2018-12-52,2018-01-02,2018-01-01,2017-12-52
8,3046.0,2019-01,2019-01-01,2019-01-00,2018-12-52,2018-01-02,2018-01-01,2017-12-52
9,3089.0,2019-01,2019-01-01,2019-01-00,2018-12-52,2018-01-02,2018-01-01,2017-12-52
10,3385.0,2019-01,2019-01-01,2019-01-00,2018-12-52,2018-01-02,2018-01-01,2017-12-52
11,792.0,2019-01,2019-01-01,2019-01-00,2018-12-52,2018-01-02,2018-01-01,2017-12-52
12,2778.0,2019-01,2019-01-02,2019-01-01,2018-12-53,2018-01-02,2018-01-01,2017-12-52
13,2834.0,2019-01,2019-01-02,2019-01-01,2019-01-00,2018-01-03,2018-01-02,2018-01-01
14,2710.0,2019-01,2019-01-02,2019-01-01,2019-01-00,2018-01-03,2018-01-02,2018-01-01
15,2782.0,2019-01,2019-01-02,2019-01-01,2019-01-00,2018-01-03,2018-01-02,2018-01-01
16,2790.0,2019-01,2019-01-02,2019-01-01,2019-01-00,2018-01-03,2018-01-02,2018-01-01
17,2997.0,2019-01,2019-01-02,2019-01-01,2019-01-00,2018-01-03,2018-01-02,2018-01-01
18,727.0,2019-01,2019-01-02,2019-01-01,2019-01-00,2018-01-03,2018-01-02,2018-01-01
19,2202.0,2019-01,2019-01-03,2019-01-02,2019-01-01,2018-01-03,2018-01-02,2018-01-01
20,2180.0,2019-01,2019-01-03,2019-01-02,2019-01-01,2018-01-04,2018-01-03,2018-01-02
21,2075.0,2019-01,2019-01-03,2019-01-02,2019-01-01,2018-01-04,2018-01-03,2018-01-02
22,2287.0,2019-01,2019-01-03,2019-01-02,2019-01-01,2018-01-04,2018-01-03,2018-01-02
23,2260.0,2019-01,2019-01-03,2019-01-02,2019-01-01,2018-01-04,2018-01-03,2018-01-02
24,2992.0,2019-01,2019-01-03,2019-01-02,2019-01-01,2018-01-04,2018-01-03,2018-01-02
25,688.0,2019-01,2019-01-03,2019-01-02,2019-01-01,2018-01-04,2018-01-03,2018-01-02
26,2240.0,2019-01,2019-01-04,2019-01-03,2019-01-02,2018-01-04,2018-01-03,2018-01-02
27,2236.0,2019-01,2019-01-04,2019-01-03,2019-01-02,2018-01-05,2018-01-04,2018-01-03
28,2390.0,2019-01,2019-01-04,2019-01-03,2019-01-02,2018-01-05,2018-01-04,2018-01-03
29,2665.0,2019-01,2019-01-04,2019-01-03,2019-01-02,2018-01-05,2018-01-04,2018-01-03
30,2997.0,2019-02,2019-02-04,2019-01-03,2019-01-02,2018-02-05,2018-01-04,2018-01-03
31,3637.0,2019-02,2019-02-04,2019-01-03,2019-01-02,2018-02-05,2018-01-04,2018-01-03
32,1092.0,2019-02,2019-02-04,2019-01-03,2019-01-02,2018-02-05,2018-01-04,2018-01-03
33,2758.0,2019-02,2019-02-05,2019-01-04,2019-01-03,2018-02-05,2018-01-04,2018-01-03
34,3176.0,2019-02,2019-02-05,2019-01-04,2019-01-03,2018-02-06,2018-01-05,2018-01-04
35,3065.0,2019-02,2019-02-05,2019-01-04,2019-01-03,2018-02-06,2018-01-05,2018-01-04
36,3361.0,2019-02,2019-02-05,2019-01-04,2019-01-03,2018-02-06,2018-01-05,2018-01-04
37,3893.0,2019-02,2019-02-05,2019-02-04,2019-01-03,2018-02-06,2018-02-05,2018-01-04
38,5170.0,2019-02,2019-02-05,2019-02-04,2019-01-03,2018-02-06,2018-02-05,2018-01-04
39,1363.0,2019-02,2019-02-05,2019-02-04,2019-01-03,2018-02-06,2018-02-05,2018-01-04
40,2896.0,2019-02,2019-02-06,2019-02-05,2019-01-04,2018-02-06,2018-02-05,2018-01-04
41,2546.0,2019-02,2019-02-06,2019-02-05,2019-01-04,2018-02-07,2018-02-06,2018-01-05
42,2308.0,2019-02,2019-02-06,2019-02-05,2019-01-04,2018-02-07,2018-02-06,2018-01-05
43,2614.0,2019-02,2019-02-06,2019-02-05,2019-01-04,2018-02-07,2018-02-06,2018-01-05
44,2899.0,2019-02,2019-02-06,2019-02-05,2019-02-04,2018-02-07,2018-02-06,2018-02-05
45,3700.0,2019-02,2019-02-06,2019-02-05,2019-02-04,2018-02-07,2018-02-06,2018-02-05
46,1038.0,2019-02,2019-02-06,2019-02-05,2019-02-04,2018-02-07,2018-02-06,2018-02-05
47,2187.0,2019-02,2019-02-07,2019-02-06,2019-02-05,2018-02-07,2018-02-06,2018-02-05
48,2352.0,2019-02,2019-02-07,2019-02-06,2019-02-05,2018-02-08,2018-02-07,2018-02-06
49,2514.0,2019-02,2019-02-07,2019-02-06,2019-02-05,2018-02-08,2018-02-07,2018-02-06
50,2433.0,2019-02,2019-02-07,2019-02-06,2019-02-05,2018-02-08,2018-02-07,2018-02-06
51,3219.0,2019-02,2019-02-07,2019-02-06,2019-02-05,2018-02-08,2018-02-07,2018-02-06
52,3659.0,2019-02,2019-02-07,2019-02-06,2019-02-05,2018-02-08,2018-02-07,2018-02-06
53,977.0,2019-02,2019-02-07,2019-02-06,2019-02-05,2018-02-08,2018-02-07,2018-02-06
54,1961.0,2019-02,2019-02-08,2019-02-07,2019-02-06,2018-02-08,2018-02-07,2018-02-06
55,2297.0,2019-02,2019-02-08,2019-02-07,2019-02-06,2018-02-09,2018-02-08,2018-02-07
56,2442.0,2019-02,2019-02-08,2019-02-07,2019-02-06,2018-02-09,2018-02-08,2018-02-07
57,2915.0,2019-02,2019-02-08,2019-02-07,2019-02-06,2018-02-09,2018-02-08,2018-02-07
58,3734.0,2019-03,2019-03-08,2019-02-07,2019-02-06,2018-03-09,2018-02-08,2018-02-07
59,3064.0,2019-03,2019-03-08,2019-02-07,2019-02-06,2018-03-09,2018-02-08,2018-02-07
60,783.0,2019-03,2019-03-08,2019-02-07,2019-02-06,2018-03-09,2018-02-08,2018-02-07
61,459.0,2019-03,2019-03-09,2019-02-08,2019-02-07,2018-03-09,2018-02-08,2018-02-07
62,1758.0,2019-03,2019-03-09,2019-02-08,2019-02-07,2018-03-10,2018-02-09,2018-02-08
63,3022.0,2019-03,2019-03-09,2019-02-08,2019-02-07,2018-03-10,2018-02-09,2018-02-08
64,3743.0,2019-03,2019-03-09,2019-03-08,2019-02-07,2018-03-10,2018-03-09,2018-02-08
65,3772.0,2019-03,2019-03-09,2019-03-08,2019-02-07,2018-03-10,2018-03-09,2018-02-08
66,1119.0,2019-03,2019-03-09,2019-03-08,2019-02-07,2018-03-10,2018-03-09,2018-02-08
67,2408.0,2019-03,2019-03-10,2019-03-09,2019-02-08,2018-03-10,2018-03-09,2018-02-08
68,2605.0,2019-03,2019-03-10,2019-03-09,2019-02-08,2018-03-11,2018-03-10,2018-02-09
69,2028.0,2019-03,2019-03-10,2019-03-09,2019-02-08,2018-03-11,2018-03-10,2018-02-09
70,2514.0,2019-03,2019-03-10,2019-03-09,2019-02-08,2018-03-11,2018-03-10,2018-02-09
71,3339.0,2019-03,2019-03-10,2019-03-09,2019-03-08,2018-03-11,2018-03-10,2018-03-09
72,3697.0,2019-03,2019-03-10,2019-03-09,2019-03-08,2018-03-11,2018-03-10,2018-03-09
73,1165.0,2019-03,2019-03-10,2019-03-09,2019-03-08,2018-03-11,2018-03-10,2018-03-09
74,2265.0,2019-03,2019-03-11,2019-03-10,2019-03-09,2018-03-11,2018-03-10,2018-03-09
75,2088.0,2019-03,2019-03-11,2019-03-10,2019-03-09,2018-03-12,2018-03-11,2018-03-10
76,2267.0,2019-03,2019-03-11,2019-03-10,2019-03-09,2018-03-12,2018-03-11,2018-03-10
77,1981.0,2019-03,2019-03-11,2019-03-10,2019-03-09,2018-03-12,2018-03-11,2018-03-10
78,2915.0,2019-03,2019-03-11,2019-03-10,2019-03-09,2018-03-12,2018-03-11,2018-03-10
79,3559.0,2019-03,2019-03-11,2019-03-10,2019-03-09,2018-03-12,2018-03-11,2018-03-10
80,888.0,2019-03,2019-03-11,2019-03-10,2019-03-09,2018-03-12,2018-03-11,2018-03-10
81,2049.0,2019-03,2019-03-12,2019-03-11,2019-03-10,2018-03-12,2018-03-11,2018-03-10
82,1900.0,2019-03,2019-03-12,2019-03-11,2019-03-10,2018-03-13,2018-03-12,2018-03-11
83,1933.0,2019-03,2019-03-12,2019-03-11,2019-03-10,2018-03-13,2018-03-12,2018-03-11
84,1999.0,2019-03,2019-03-12,2019-03-11,2019-03-10,2018-03-13,2018-03-12,2018-03-11
85,2809.0,2019-03,2019-03-12,2019-03-11,2019-03-10,2018-03-13,2018-03-12,2018-03-11
86,3728.0,2019-03,2019-03-12,2019-03-11,2019-03-10,2018-03-13,2018-03-12,2018-03-11
87,1013.0,2019-03,2019-03-12,2019-03-11,2019-03-10,2018-03-13,2018-03-12,2018-03-11
